Fecha,Ventas,Clientes,Satisfacción Cliente (%),Costos Operativos
2023-01-01,4281,76,74.91,1169
2023-01-02,1896,76,65.91,1444
2023-01-03,3523,55,73.27,603
2023-01-04,4727,131,93.32,2524
2023-01-05,2037,158,62.67,2413
2023-01-06,1654,123,60.15,997
2023-01-07,4613,138,74.93,2399
2023-01-08,4458,146,90.03,2956
2023-01-09,3217,93,69.15,1079
2023-01-10,4693,55,64.76,944
2023-01-11,4201,177,65.73,2274
2023-01-12,4804,186,92.66,1083
2023-01-13,1094,86,75.32,2041
2023-01-14,2956,80,69.9,2153
2023-01-15,4835,178,65.98,1949
2023-01-16,4002,140,65.97,1295
2023-01-17,3177,111,63.41,1000
2023-01-18,1962,76,95.12,1413
2023-01-19,4350,128,81.22,2018
2023-01-20,3708,108,66.57,1079
2023-01-21,3994,120,77.81,1671
2023-01-22,2843,174,99.45,2254
2023-01-23,4598,184,64.16,2197
2023-01-24,1173,74,89.35,1302
2023-01-25,2830,148,80.93,1743
2023-01-26,3390,96,66.01,2327
2023-01-27,4334,197,67.51,1923
2023-01-28,3517,124,81.63,1512
2023-01-29,3232,198,82.24,849
2023-01-30,4630,199,89.25,646
2023-01-31,4364,156,77.23,884
2023-02-01,3394,157,72.98,1497
2023-02-02,1287,174,90.28,784
2023-02-03,4108,174,72.8,1059
2023-02-04,3542,97,83.49,2826
2023-02-05,1542,140,67.2,2289
2023-02-06,4695,69,92.3,500
2023-02-07,4587,120,66.72,1213
2023-02-08,3645,150,66.44,1849
2023-02-09,3284,138,86.48,1918
2023-02-10,2704,194,78.76,766
2023-02-11,4289,180,99.23,792
2023-02-12,2510,116,97.96,1007
2023-02-13,1863,158,77.05,1021
2023-02-14,3464,152,77.54,2741
2023-02-15,3195,163,72.09,2507
2023-02-16,3268,112,92.04,1031
2023-02-17,1609,84,78.77,585
2023-02-18,2058,58,81.54,2810
2023-02-19,3863,179,94.68,900
2023-02-20,3105,148,89.02,1012
2023-02-21,4615,85,95.49,1729
2023-02-22,2924,70,83.93,1551
2023-02-23,1249,98,64.82,2268
2023-02-24,2497,193,74.21,531
2023-02-25,3316,73,79.47,1572
2023-02-26,3873,81,93.86,2590
2023-02-27,2052,142,66.29,2408
2023-02-28,1030,158,68.88,643
2023-03-01,3916,169,67.67,2304
2023-03-02,2485,88,69.17,1313
2023-03-03,2338,171,60.53,722
2023-03-04,2674,102,95.63,2416
2023-03-05,4340,53,73.66,884
2023-03-06,4047,140,99.75,1134
2023-03-07,2038,88,81.8,1839
2023-03-08,1783,123,63.88,1382
2023-03-09,3588,100,95.24,935
2023-03-10,2339,95,67.22,2900
2023-03-11,1360,148,73.32,755
2023-03-12,3136,118,73.05,1067
2023-03-13,4088,86,87.27,2045
2023-03-14,3709,126,86.9,2959
2023-03-15,1921,92,81.41,887
2023-03-16,4575,60,81.43,1210
2023-03-17,1339,179,63.75,697
2023-03-18,4261,133,68.21,2246
2023-03-19,3435,57,74.73,1004
2023-03-20,1118,129,86.67,1414
2023-03-21,1599,183,98.24,2749
2023-03-22,1426,142,75.95,2807
2023-03-23,1113,84,78.27,1008
2023-03-24,1860,176,92.99,2303
2023-03-25,3397,193,82.1,1520
2023-03-26,1028,175,73.72,786
2023-03-27,4959,87,72.67,646
2023-03-28,4326,84,75.19,2941
2023-03-29,1758,113,72.59,1457
2023-03-30,2020,61,80.48,2817
2023-03-31,4892,141,70.53,2379
2023-04-01,2655,60,82.55,737
2023-04-02,3651,64,65.83,1671
2023-04-03,4441,57,79.42,934
2023-04-04,4843,50,95.72,2240
2023-04-05,4885,91,78.49,1626
2023-04-06,4070,191,76.54,2187
2023-04-07,3333,99,97.73,2504
2023-04-08,1424,77,84.33,1066
2023-04-09,3637,64,85.69,1215
2023-04-10,2603,61,78.7,2625
