Fecha,Ventas,Clientes,Satisfacción Cliente (%),Costos Operativos
2023-01-01,1502,79,74.55,1394
2023-01-02,1383,84,77.67,655
2023-01-03,4176,145,79.23,2712
2023-01-04,1298,60,65.67,532
2023-01-05,2379,199,86.0,2821
2023-01-06,4937,173,87.11,2400
2023-01-07,2831,145,64.38,1278
2023-01-08,1669,161,71.71,2935
2023-01-09,1390,67,99.62,2107
2023-01-10,2566,160,98.63,1713
2023-01-11,3891,134,89.0,1033
2023-01-12,1831,164,61.18,1008
2023-01-13,4290,111,98.65,610
2023-01-14,3140,115,84.97,2323
2023-01-15,3082,190,68.81,2969
2023-01-16,1729,122,86.43,1286
2023-01-17,3139,168,90.86,803
2023-01-18,4448,151,81.17,2982
2023-01-19,1810,83,98.24,2935
2023-01-20,2813,153,72.89,2193
2023-01-21,4385,164,85.09,1336
2023-01-22,1912,98,60.77,743
2023-01-23,2303,70,61.92,2645
2023-01-24,3716,184,84.93,1836
2023-01-25,2506,92,71.78,902
2023-01-26,4807,103,92.82,1407
2023-01-27,3377,183,92.06,2039
2023-01-28,3971,69,61.58,1131
2023-01-29,3721,59,74.97,558
2023-01-30,2400,68,82.54,2357
2023-01-31,4506,74,81.78,2071
2023-02-01,1091,76,77.1,1898
2023-02-02,2024,193,85.88,2967
2023-02-03,1113,146,70.35,1935
2023-02-04,4383,90,90.21,1796
2023-02-05,3011,83,79.57,932
2023-02-06,2467,172,95.72,633
2023-02-07,3698,114,64.06,1328
2023-02-08,3792,82,64.27,2505
2023-02-09,4227,129,76.07,721
2023-02-10,2951,126,72.28,1392
2023-02-11,2149,195,83.61,2328
2023-02-12,2873,65,80.19,1772
2023-02-13,3637,89,84.77,1122
2023-02-14,4336,57,70.11,2444
2023-02-15,3425,127,73.61,2948
2023-02-16,1610,166,97.23,2670
2023-02-17,2766,119,75.88,1534
2023-02-18,1634,178,74.39,569
2023-02-19,2974,191,91.31,986
2023-02-20,4835,183,73.8,1983
2023-02-21,1567,92,65.21,2541
2023-02-22,2839,191,77.65,2375
2023-02-23,4473,105,60.13,2692
2023-02-24,1083,61,76.91,828
2023-02-25,2587,159,88.9,1053
2023-02-26,2988,183,92.5,2682
2023-02-27,2794,103,66.02,1362
2023-02-28,4481,94,72.67,518
2023-03-01,3858,180,91.75,2762
2023-03-02,3130,62,60.31,2568
2023-03-03,4675,89,92.5,1135
2023-03-04,3053,89,85.84,966
2023-03-05,1583,179,68.25,867
2023-03-06,4021,185,84.5,2905
2023-03-07,2817,179,80.61,1826
2023-03-08,4368,88,78.93,1279
2023-03-09,4267,160,96.38,2026
2023-03-10,4393,153,91.9,1886
2023-03-11,4081,135,63.46,1184
2023-03-12,2839,133,94.74,2010
2023-03-13,2922,108,60.98,1473
2023-03-14,4515,161,82.41,1563
2023-03-15,3585,148,74.07,2630
2023-03-16,3581,71,90.09,2408
2023-03-17,1738,188,84.34,2215
2023-03-18,1196,197,95.67,1417
2023-03-19,1837,179,98.86,2777
2023-03-20,1141,164,86.76,1559
2023-03-21,1246,73,87.66,1798
2023-03-22,1454,130,91.27,861
2023-03-23,4208,68,73.04,2449
2023-03-24,4634,87,87.26,2567
2023-03-25,4480,60,67.94,1598
2023-03-26,2204,96,78.47,1880
2023-03-27,4379,114,70.94,1811
2023-03-28,2970,171,65.23,850
2023-03-29,2762,54,74.2,520
2023-03-30,2699,172,94.47,2123
2023-03-31,4741,86,70.02,2904
2023-04-01,2354,182,93.23,2892
2023-04-02,2549,101,85.6,2278
2023-04-03,2730,65,72.21,1696
2023-04-04,4229,86,94.59,1190
2023-04-05,3701,86,78.08,928
2023-04-06,4701,67,87.91,2232
2023-04-07,1941,190,60.87,816
2023-04-08,2959,74,74.25,565
2023-04-09,3400,198,97.3,1423
2023-04-10,2625,184,75.15,970
