Fecha,Ventas,Clientes,Satisfacción Cliente (%),Costos Operativos
2023-01-01,3369,133,90.84,1146
2023-01-02,3029,164,62.4,1843
2023-01-03,2938,173,82.26,1418
2023-01-04,4805,74,80.06,2088
2023-01-05,2465,56,95.9,617
2023-01-06,4640,151,66.06,972
2023-01-07,4750,92,78.86,684
2023-01-08,3569,62,64.2,2186
2023-01-09,1385,127,70.99,2590
2023-01-10,4595,169,66.3,2209
2023-01-11,2250,55,69.48,2230
2023-01-12,4626,149,66.97,2181
2023-01-13,2059,101,85.91,1485
2023-01-14,3198,62,88.9,2360
2023-01-15,3619,176,63.37,1333
2023-01-16,2276,190,74.55,2625
2023-01-17,3981,150,76.44,2888
2023-01-18,4419,192,77.81,2346
2023-01-19,2745,60,98.9,2822
2023-01-20,4786,119,86.8,2209
2023-01-21,1624,118,83.89,1141
2023-01-22,4926,183,87.06,1088
2023-01-23,4923,83,69.31,1712
2023-01-24,2442,186,84.03,2029
2023-01-25,3923,55,70.64,1840
2023-01-26,2847,86,65.68,2232
2023-01-27,4684,137,81.62,2530
2023-01-28,3230,91,77.6,1704
2023-01-29,2397,182,82.43,2079
2023-01-30,2126,186,86.95,1910
2023-01-31,4240,183,62.77,860
2023-02-01,1711,185,64.88,1528
2023-02-02,4904,194,67.29,2072
2023-02-03,1539,173,65.31,2896
2023-02-04,2376,66,95.33,1601
2023-02-05,1050,132,67.67,1019
2023-02-06,1510,82,93.68,1974
2023-02-07,1651,168,72.03,2123
2023-02-08,1402,160,83.71,574
2023-02-09,1269,97,83.43,2759
2023-02-10,4249,133,85.06,2908
2023-02-11,4197,185,98.3,1936
2023-02-12,4130,194,73.59,1510
2023-02-13,2077,168,68.4,2184
2023-02-14,1574,121,90.25,2903
2023-02-15,4603,131,98.29,1909
2023-02-16,4210,184,74.58,781
2023-02-17,1704,162,81.21,1512
2023-02-18,4028,111,82.83,1752
2023-02-19,2276,79,99.96,855
2023-02-20,3318,93,66.11,1319
2023-02-21,4280,72,74.76,1657
2023-02-22,1880,155,90.33,1313
2023-02-23,4008,81,87.17,1612
2023-02-24,3171,84,91.29,1840
2023-02-25,4976,67,71.2,2024
2023-02-26,1446,71,67.12,1342
2023-02-27,4520,67,61.27,2791
2023-02-28,1352,161,89.38,2021
2023-03-01,4888,197,78.5,985
2023-03-02,3336,51,78.63,2853
2023-03-03,4594,154,75.35,1445
2023-03-04,3444,136,98.48,2638
2023-03-05,2074,144,80.16,1938
2023-03-06,1678,180,85.14,2708
2023-03-07,4560,103,86.38,1746
2023-03-08,1894,155,75.78,601
2023-03-09,3195,111,71.44,2067
2023-03-10,1357,166,72.06,1302
2023-03-11,3185,61,70.07,2230
2023-03-12,2298,129,66.48,2686
2023-03-13,4814,77,89.01,1701
2023-03-14,4129,98,60.68,1772
2023-03-15,4377,108,66.45,1355
2023-03-16,2446,144,86.93,1032
2023-03-17,2013,60,77.06,771
2023-03-18,3298,132,73.64,607
2023-03-19,1644,147,67.43,608
2023-03-20,2712,192,95.92,2624
2023-03-21,4849,183,83.47,1859
2023-03-22,3590,76,79.04,2127
2023-03-23,3953,179,80.8,988
2023-03-24,3903,191,74.33,773
2023-03-25,4936,130,74.57,1084
2023-03-26,2523,130,96.13,2195
2023-03-27,1634,135,74.43,923
2023-03-28,4162,71,79.11,2398
2023-03-29,1192,90,71.1,1357
2023-03-30,1985,170,82.03,1394
2023-03-31,2431,134,90.5,2887
2023-04-01,4593,154,99.2,2905
2023-04-02,3321,186,62.14,2403
2023-04-03,1047,64,98.12,2627
2023-04-04,3245,124,88.68,1904
2023-04-05,2011,131,86.38,715
2023-04-06,2955,182,62.05,1770
2023-04-07,2942,136,81.06,1895
2023-04-08,1537,112,88.46,2497
2023-04-09,3831,142,77.11,1204
2023-04-10,3621,118,89.3,1880
